Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
SOHO,Sotherly Hotels Inc. Common Stock,$1.61,0.01,0.625%,31090393.00,United States,,27780,Real Estate,Real Estate Investment Trusts
SOHOB,Sotherly Hotels Inc. 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock,$22.70,0.01,0.044%,438355228.00,United States,,1251,Real Estate,Real Estate Investment Trusts
SOHON,Sotherly Hotels Inc. 8.25% Series D Cumulative Redeemable Perpetual Preferred Stock,$23.45,0.00,0.00%,452838330.00,United States,,772,Real Estate,Real Estate Investment Trusts
SOHOO,Sotherly Hotels Inc. 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock,$23.12,0.12,0.522%,446465765.00,United States,,200,Real Estate,Real Estate Investment Trusts
SQFT,Presidio Property Trust Inc. Class A Common Stock,$0.6502,-0.0098,-1.485%,896050.00,United States,2020,37764,Real Estate,Real Estate Investment Trusts
SQFTP,Presidio Property Trust Inc. 9.375% Series D Cumulative Redeemable Perpetual Preferred Stock $0.01 par value per share,$15.14,-0.86,-5.375%,199120735.00,United States,,476,Real Estate,Real Estate Investment Trusts
SQFTW,Presidio Property Trust Inc. Series A Common Stock Purchase Warrants,$0.0204,-0.0036,-15.00%,268300.00,United States,,31042,Real Estate,Real Estate Investment Trusts
STHO,Star Holdings Shares of Beneficial Interest,$12.00,-0.31,-2.518%,159834624.00,United States,,46351,Real Estate,Real Estate
STRS,Stratus Properties Inc. Common Stock,$27.59,0.22,0.804%,220643162.00,United States,,4223,Real Estate,Homebuilding
SVC,Service Properties Trust Common Stock,$7.22,-0.21,-2.826%,1194654585.00,United States,,547915,Real Estate,Real Estate Investment Trusts
UNIT,Uniti Group Inc. Common Stock,$4.54,-0.27,-5.613%,1083646262.00,United States,,1459671,Real Estate,Real Estate Investment Trusts
WHLR,Wheeler Real Estate Investment Trust Inc. Common Stock,$0.9901,-0.0499,-4.798%,971209.00,United States,2012,433277,Real Estate,Real Estate Investment Trusts
WHLRD,Wheeler Real Estate Investment Trust Inc. Series D Cumulative Preferred Stock,$11.62,-0.08,-0.684%,11398290.00,United States,,13025,Real Estate,Real Estate Investment Trusts
WHLRP,Wheeler Real Estate Investment Trust Inc. Class B Preferred Stock,$1.42,-0.026,-1.798%,1392906.00,United States,,2592,Real Estate,Real Estate Investment Trusts
